yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	3.014242248916848e+00	2.470707553977315e-01	3.310682095916336e+00	-1.498409492721768e+00	-1.455277398102164e+00	3.021200000000000e+02	6.327580000000000e+00
1	2.560921506742482e+00	2.481684246026841e-01	3.484665032005583e+00	-1.527047016057734e+00	-1.579258028550298e+00	4.303220000000000e+02	6.842600000000000e+00
1	1.615514530768933e+00	2.564862538690386e-01	2.660907169705039e+00	-1.018649553427917e+00	-1.349392142858812e+00	1.063390000000000e+03	8.413930000000001e+00
1	2.020301182250766e+00	2.438132038784610e-01	3.510066084747868e+00	-1.397491749780765e+00	-1.716498684839261e+00	4.563270000000000e+02	6.090060000000000e+00
1	1.474891104631356e+00	2.447756722149667e-01	3.043884965244153e+00	-1.434041948920507e+00	-1.290857262820962e+00	5.983720000000000e+02	4.531880000000000e+00
1	1.100933203666718e+00	2.567714699542079e-01	2.732125257302128e+00	-1.271483668087685e+00	-1.224112388822698e+00	1.515420000000000e+03	3.933010000000000e+00
1	1.279342026474285e+00	2.477157195415124e-01	2.879487563180657e+00	-1.239399523217704e+00	-1.289774501041751e+00	4.987840000000000e+02	5.433190000000000e+00
1	2.657868233795626e+00	2.582776128672002e-01	2.471689970637337e+00	-1.223688236359776e+00	-1.069974973090558e+00	6.398120000000000e+02	4.310080000000000e+00
1	4.178017143381449e+00	2.577053460961529e-01	2.932174898810429e+00	-1.265401556324040e+00	-1.403000751346843e+00	1.004850000000000e+03	1.321430000000000e+01
1	4.040246127399495e+00	2.561237822201010e-01	3.018494300273461e+00	-1.281192350441354e+00	-1.422741024742365e+00	9.427660000000000e+02	1.190100000000000e+01
1	2.258060347249450e+00	2.492027018625262e-01	3.275190509404102e+00	-1.345076043415017e+00	-1.575787172504845e+00	4.709200000000000e+02	6.432870000000000e+00
1	3.938017145570505e+00	2.567958746128514e-01	2.943946725211378e+00	-1.337853237073049e+00	-1.313494498921155e+00	1.001260000000000e+03	1.234920000000000e+01
1	2.041301393925817e+00	2.563682335645713e-01	2.788948865364149e+00	-1.207016107721681e+00	-1.325082957910061e+00	1.140160000000000e+03	6.113570000000000e+00
1	1.808370163592601e+00	2.578502469053190e-01	5.890306142042606e+00	-2.669143528290929e+00	-2.941808424895651e+00	1.782910382161213e+03	1.051700490652313e+01
1	1.804495947567905e+00	2.562427548532938e-01	6.001368108061020e+00	-2.668531755440020e+00	-2.910681637950165e+00	2.771729498526678e+03	1.015776936776978e+01
1	1.961655329784750e+00	2.568943483508438e-01	5.627798901760947e+00	-2.498236091045600e+00	-2.786699248758668e+00	2.448686786685661e+03	9.020179760531374e+00
